ad_clicks,ad_clicks_unique,ad_impressions,ad_impressions_unique,ad_network_id,advertiser_id,country.code,date_hour,events,installs,is_reengagement,payouts,publisher_id,publisher_sub_ad.ref,publisher_sub_adgroup.ref,publisher_sub_campaign.ref,publisher_sub_publisher.ref,publisher_sub_site.ref,site_id
0,0,2,2,98,877,RU,"2016-11-17 16:00:00",0,0,0,0,212933,Client_6s_AtomicDodgeBallLite_EN_160406_iOS_Landscape_Reg,,571aa7656dfbb64b2b0000cd,,5767da97de4dacbc140000e7,2962
1,1,0,0,1216,877,PT,"2016-11-17 06:00:00",0,0,0,0,88580,,,2002620,,HasOffer,2385
30,0,0,0,0,877,SE,"2016-11-17 13:00:00",0,0,0,0,365,,,,,,47266
90,0,0,0,0,877,IE,"2016-11-17 23:00:00",0,0,0,0,1899,,,,,,533
0,0,0,0,0,877,IQ,"2016-11-17 13:00:00",3,0,0,0,0,,,,,,2385
42,0,0,0,0,877,UK,"2016-11-17 17:00:00",0,0,0,0,365,,,,,,533
18,0,0,0,0,877,DK,"2016-11-17 23:00:00",0,0,0,0,365,,,,,,533
30,0,0,0,0,877,IT,"2016-11-17 12:00:00",0,0,0,0,365,,,,,,47266
0,0,0,0,0,877,PA,"2016-11-17 21:00:00",0,0,0,0,0,,,,,,123959
18,0,0,0,0,877,CA,"2016-11-17 16:00:00",0,0,0,0,142476,,,,,,533
90,0,0,0,0,877,IE,"2016-11-17 10:00:00",0,0,0,0,1899,,,,,,533
18,0,0,0,0,877,DK,"2016-11-17 11:00:00",0,0,0,0,365,,,,,,533
90,0,0,0,0,877,IE,"2016-11-17 06:00:00",0,0,0,0,1899,,,,,,533
42,0,0,0,0,877,AT,"2016-11-17 02:00:00",0,0,0,0,365,,,,,,533
144,0,0,0,0,877,DK,"2016-11-17 03:00:00",0,0,0,0,1899,,,,,,533
42,0,0,0,0,877,AT,"2016-11-17 12:00:00",0,0,0,0,365,,,,,,533
389,0,0,0,0,877,NL,"2016-11-17 04:00:00",0,0,0,0,1899,,,,,,533
18,0,0,0,0,877,CA,"2016-11-17 17:00:00",0,0,0,0,365,,,,,,533
108,0,0,0,0,877,DE,"2016-11-17 10:00:00",0,0,0,0,365,,,,,,47266
174,0,0,0,0,877,US,"2016-11-17 02:00:00",0,0,0,0,142476,,,,,,533
60,0,0,0,0,877,NL,"2016-11-17 14:00:00",0,0,0,0,365,,,,,,47266
12,0,0,0,0,877,SE,"2016-11-17 05:00:00",0,0,0,0,142476,,,,,,533
1,1,0,0,1783,877,US,"2016-11-17 10:00:00",0,0,0,0,181341,,,,[PID],,2962
6,0,0,0,0,877,CA,"2016-11-17 15:00:00",0,0,0,0,365,,,,,,47266
30,0,0,0,0,877,UK,"2016-11-17 04:00:00",0,0,0,0,365,,,,,,47266
6,0,0,0,0,877,CH,"2016-11-17 03:00:00",0,0,0,0,365,,,,,,47266
0,0,1,1,98,877,CN,"2016-11-17 00:00:00",0,0,0,0,212933,Client_6s_AtomicDodgeBallLite_EN_160406_iOS_Landscape_Reg,,571aa7656dfbb64b2b0000cd,,50046b006d791be34e17e959,2962
48,0,0,0,0,877,DE,"2016-11-17 01:00:00",0,0,0,0,142476,,,,,,533
18,0,0,0,0,877,SE,"2016-11-17 15:00:00",0,0,0,0,365,,,,,,533
24,0,0,0,0,877,CH,"2016-11-17 03:00:00",0,0,0,0,365,,,,,,533
108,0,0,0,0,877,SE,"2016-11-17 18:00:00",0,0,0,0,1899,,,,,,533
24,0,0,0,0,877,UK,"2016-11-17 02:00:00",0,0,0,0,142476,,,,,,533
0,0,1,1,98,877,RU,"2016-11-17 20:00:00",0,0,0,0,212933,Client_6s_AtomicDodgeBallLite_EN_160406_iOS_Landscape_Reg,,571aa7656dfbb64b2b0000cd,,56347e03d1804d724700004a,2962
6,0,0,0,0,877,CA,"2016-11-17 19:00:00",0,0,0,0,365,,,,,,47266
1824,0,0,0,0,877,US,"2016-11-17 21:00:00",0,0,0,0,1899,,,,,,533
1,0,1,1,98,877,CN,"2016-11-17 01:00:00",0,0,0,0,212933,Client_6s_AtomicDodgeBallLite_EN_160406_iOS_Landscape_Reg,,571aa7656dfbb64b2b0000cd,,521b36c58e60e5e30d000008,2962
48,0,0,0,0,877,DE,"2016-11-17 14:00:00",0,0,0,0,142476,,,,,,533
6,0,0,0,0,877,IT,"2016-11-17 08:00:00",0,0,0,0,142476,,,,,,533
60,0,0,0,0,877,NL,"2016-11-17 22:00:00",0,0,0,0,365,,,,,,47266
2,2,0,0,2414,877,US,"2016-11-17 14:00:00",0,0,0,0,334322,,,default,ec372962f48f3529_default,,2962
216,0,0,0,0,877,AT,"2016-11-17 21:00:00",0,0,0,0,1899,,,,,,533
715,0,0,0,0,877,DE,"2016-11-17 18:00:00",0,0,0,0,1899,,,,,,533
24,0,0,0,0,877,CH,"2016-11-17 05:00:00",0,0,0,0,365,,,,,,533
12,0,0,0,0,877,SE,"2016-11-17 02:00:00",0,0,0,0,142476,,,,,,533
6,0,0,0,0,877,IT,"2016-11-17 17:00:00",0,0,0,0,142476,,,,,,533
1,1,0,0,0,877,INT,"2016-11-17 14:00:00",0,0,0,0,169564,,,,,,2962
1,0,1,1,98,877,CN,"2016-11-17 17:00:00",0,0,0,0,212933,Client_6s_AtomicDodgeBallLite_EN_160406_iOS_Landscape_Reg,,571aa7656dfbb64b2b0000cd,,57727945270dd3c4750000dd,2962
1,1,0,0,1072,877,AM,"2016-11-17 06:00:00",0,0,0,0,75940,8403,5401,767,37541,,2962
66,0,0,0,0,877,CH,"2016-11-17 17:00:00",0,0,0,0,1899,,,,,,533
0,0,0,0,0,877,US,"2016-11-17 20:00:00",0,8,0,0,0,,,,,,114023
1,1,0,0,214,877,KR,"2016-11-17 04:00:00",0,0,0,0,12738,,,14305,,,2962
0,0,3,2,98,877,RU,"2016-11-17 08:00:00",0,0,0,0,212933,Client_6s_AtomicDodgeBallLite_EN_160406_iOS_Landscape_Reg,,571aa7656dfbb64b2b0000cd,,5767da97de4dacbc140000e7,2962
18,0,0,0,0,877,CA,"2016-11-17 05:00:00",0,0,0,0,142476,,,,,,533
708,0,0,0,0,877,DE,"2016-11-17 06:00:00",0,0,0,0,1899,,,,,,533
24,0,0,0,0,877,AT,"2016-11-17 14:00:00",0,0,0,0,365,,,,,,47266
354,0,0,0,0,877,US,"2016-11-17 08:00:00",0,0,0,0,365,,,,,,47266
2,2,0,0,2414,877,US,"2016-11-17 03:00:00",0,0,0,0,334322,,,default,e64a7f34a0e33ce2_default,,2962
1,1,0,0,0,877,US,"2016-11-17 08:00:00",0,0,0,0,587,,,,,,2962
0,0,0,0,0,877,ID,"2016-11-17 04:00:00",0,0,0,0,0,,,,,,123959
0,0,1,1,98,877,CN,"2016-11-17 04:00:00",0,0,0,0,212933,Client_6s_AtomicDodgeBallLite_EN_160406_iOS_Landscape_Reg,,571aa7656dfbb64b2b0000cd,,5255b9a777aa478519000008,2962
6,0,0,0,0,877,CH,"2016-11-17 04:00:00",0,0,0,0,365,,,,,,47266
2,2,0,0,2414,877,US,"2016-11-17 10:00:00",0,0,0,0,334322,,,default,e64a7f34a0e33ce2_default,,2962
0,0,0,0,0,877,IR,"2016-11-17 13:00:00",3,0,0,0,0,,,,,,123959
1,1,0,0,214,877,KR,"2016-11-17 09:00:00",0,0,0,0,12738,,,14305,,,2962
1,0,0,0,0,877,INT,"2016-11-17 08:00:00",0,0,0,0,1899,,,,,,533
18,0,0,0,0,877,CA,"2016-11-17 09:00:00",0,0,0,0,142476,,,,,,533
24,0,0,0,0,877,AT,"2016-11-17 15:00:00",0,0,0,0,365,,,,,,47266
30,0,0,0,0,877,SE,"2016-11-17 20:00:00",0,0,0,0,365,,,,,,47266
78,0,0,0,0,877,DE,"2016-11-17 07:00:00",0,0,0,0,365,,,,,,533
294,0,0,0,0,877,UK,"2016-11-17 11:00:00",0,0,0,0,1899,,,,,,533
1,1,0,0,1072,877,AO,"2016-11-17 09:00:00",0,0,0,0,75940,8403,5401,767,37541,,2962
0,0,0,0,0,877,US,"2016-11-17 01:00:00",0,5,0,0,0,,,,,,113773
18,0,0,0,0,877,DK,"2016-11-17 14:00:00",0,0,0,0,365,,,,,,533
24,0,0,0,0,877,AT,"2016-11-17 21:00:00",0,0,0,0,365,,,,,,47266
30,0,0,0,0,877,UK,"2016-11-17 23:00:00",0,0,0,0,365,,,,,,47266
0,0,0,0,0,877,MX,"2016-11-17 17:00:00",0,0,0,0,0,,,,,,123959
12,0,0,0,0,877,IE,"2016-11-17 19:00:00",0,0,0,0,365,,,,,,533
0,0,0,0,0,877,SE,"2016-11-17 00:00:00",1,0,0,0,0,,,,,,123959
18,0,0,0,0,877,CA,"2016-11-17 15:00:00",0,0,0,0,142476,,,,,,533
48,0,0,0,0,877,NL,"2016-11-17 03:00:00",0,0,0,0,365,,,,,,533
0,0,3,3,98,877,RU,"2016-11-17 21:00:00",0,0,0,0,212933,Client_6s_AtomicDodgeBallLite_EN_160406_iOS_Landscape_Reg,,571aa7656dfbb64b2b0000cd,,5767da97de4dacbc140000e7,2962
156,0,0,0,0,877,DK,"2016-11-17 12:00:00",0,0,0,0,1899,,,,,,533
3,3,0,0,5,877,US,"2016-11-17 08:00:00",0,0,0,0,343974,,,,,,2385
30,0,0,0,0,877,UK,"2016-11-17 06:00:00",0,0,0,0,365,,,,,,47266
18,0,0,0,0,877,SE,"2016-11-17 07:00:00",0,0,0,0,365,,,,,,533
132,0,0,0,0,877,CA,"2016-11-17 04:00:00",0,0,0,0,1899,,,,,,533
0,0,3,3,98,877,RU,"2016-11-17 06:00:00",0,0,0,0,212933,Client_6s_AtomicDodgeBallLite_EN_160406_iOS_Landscape_Reg,,571aa7656dfbb64b2b0000cd,,52a861166faa22fa48000009,2962
24,0,0,0,0,877,AT,"2016-11-17 18:00:00",0,0,0,0,365,,,,,,47266
24,0,0,0,0,877,AT,"2016-11-17 08:00:00",0,0,0,0,365,,,,,,47266
288,0,0,0,0,877,UK,"2016-11-17 01:00:00",0,0,0,0,1899,,,,,,533
24,0,0,0,0,877,IE,"2016-11-17 02:00:00",0,0,0,0,365,,,,,,47266
137,0,0,0,0,877,IT,"2016-11-17 09:00:00",0,0,0,0,1899,,,,,,533
138,0,0,0,0,877,IT,"2016-11-17 01:00:00",0,0,0,0,1899,,,,,,533
2,0,0,0,0,877,INT,"2016-11-17 10:00:00",0,0,0,0,1899,,,,,,533
2,2,0,0,2414,877,US,"2016-11-17 21:00:00",0,0,0,0,334322,,,default,ec372962f48f3529_default,,2962
12,0,0,0,0,877,SE,"2016-11-17 07:00:00",0,0,0,0,142476,,,,,,533
6,0,0,0,0,877,IT,"2016-11-17 04:00:00",0,0,0,0,142476,,,,,,533
